"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","1450-1019-ND","AS6C1008-55STIN","IC SRAM 1MBIT PARALLEL 32STSOP","","1","0","3.05000","3.05"
"2","3","1276-1026-1-ND","CL21B105KOFNNNE","CAP CER 1UF 16V X7R 0805","C1","3","0","0.10000","0.30"
"3","1","296-17254-1-ND","SN74LVC2G79DCUR","IC FF D-TYPE DUAL 1BIT 8VSSOP","","1","0","0.55000","0.55"
"4","1","296-SN74AHC573QPWRG4Q1CT-ND","SN74AHC573QPWRG4Q1","IC D-TYPE TRANSP SGL 8:8 20TSSOP","","1","0","0.87000","0.87"
"5","1","1727-3063-1-ND","74AHC02PW,118","IC GATE NOR 4CH 2-INP 14TSSOP","","1","0","0.46000","0.46"
"6","1","1988-1163-ND","920-0172-01","CONN HEADER VERT 40P 2.54MM 3PC","","1","0","5.00000","5.00"
"7","1","1727-4832-1-ND","BAV756S,115","DIODE ARRAY GP 90V 250MA 6TSSOP","","1","0","0.40000","0.40"
"8","1","36-3031-ND","3031","BATT RETAIN COIN 1 CELL PC PIN","","1","0","0.62000","0.62"
"9","1","P031-ND","CR-1025/BN","BATTERY LITHIUM 3V COIN 10MM","","1","0","1.12000","1.12"
"10","1","478-4774-1-ND","TAJC227K010RNJ","CAP TANT 220UF 10% 10V 2312","","1","0","1.24000","1.24"